('2022-11-30 17:41:37.572961', 'Exit')
('2022-11-30 17:41:47.401262', 'Exit')
('2022-11-30 17:41:48.685499', 'Enter')
('2022-11-30 17:43:01.368476', 'Enter')
('2022-11-30 17:43:15.103441', 'Enter')
('2022-11-30 17:43:16.959228', 'Enter')
('2022-11-30 17:43:20.194345', 'Enter')
('2022-11-30 17:43:21.058977', 'Enter')
('2022-11-30 17:43:46.819791', 'Exit')
('2022-11-30 17:43:47.483253', 'Exit')
('2022-11-30 17:43:48.326355', 'Enter')
('2022-11-30 17:43:54.851782', 'Exit')
('2022-11-30 17:44:00.201256', 'Exit')
